code,title,description
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 197,PROFESSIONAL DEVELOPMENT I: HEALTH PROFESSIONS,"Integrative Biology faculty and other professionals introduce a variety of human health professions including dentistry, medicine, pharmacy and others (veterinary medicine students take <a href=""/search/?p=BI%20198"" data-action=""result-detail"" data-group=""code:BI 198"" >BI 198</a>). Emphasizes professional development through exploring relevant social and cognitive concepts, as well as engaging in experiential learning and networking. Departmental and campus student success resources are highlighted. Graded P/N."
BI 198,PROFESSIONAL DEVELOPMENT I: BIOLOGY AND ZOOLOGY,Varies by section
BI 198,PROFESSIONAL DEVELOPMENT I: BIOLOGY AND ZOOLOGY,Varies by section
BI 204,*INTRODUCTORY BIOLOGY I,"Foundations of biological sciences including scientific inquiry, genetics, evolution, and ecology. Significant emphasis throughout on the application of core concepts to solve human and environmental problems. Laboratory emphasizes skills in critical thinking, scientific writing, and experimental design. Not intended for pre-health profession students. Lec/lab. (Bacc Core Course)"
BI 204,*INTRODUCTORY BIOLOGY I,"Foundations of biological sciences including scientific inquiry, genetics, evolution, and ecology. Significant emphasis throughout on the application of core concepts to solve human and environmental problems. Laboratory emphasizes skills in critical thinking, scientific writing, and experimental design. Not intended for pre-health profession students. Lec/lab. (Bacc Core Course)"
BI 204,*INTRODUCTORY BIOLOGY I,"Foundations of biological sciences including scientific inquiry, genetics, evolution, and ecology. Significant emphasis throughout on the application of core concepts to solve human and environmental problems. Laboratory emphasizes skills in critical thinking, scientific writing, and experimental design. Not intended for pre-health profession students. Lec/lab. (Bacc Core Course)"
BI 204,*INTRODUCTORY BIOLOGY I,"Foundations of biological sciences including scientific inquiry, genetics, evolution, and ecology. Significant emphasis throughout on the application of core concepts to solve human and environmental problems. Laboratory emphasizes skills in critical thinking, scientific writing, and experimental design. Not intended for pre-health profession students. Lec/lab. (Bacc Core Course)"
BI 204,*INTRODUCTORY BIOLOGY I,"Foundations of biological sciences including scientific inquiry, genetics, evolution, and ecology. Significant emphasis throughout on the application of core concepts to solve human and environmental problems. Laboratory emphasizes skills in critical thinking, scientific writing, and experimental design. Not intended for pre-health profession students. Lec/lab. (Bacc Core Course)"
BI 206,*INTRODUCTORY BIOLOGY III,"Basic plant and animal physiology from an evolutionary perspective. Significant emphasis on topics of importance to human society, including human and plant disease. Laboratory emphasizes skills in critical thinking, scientific writing, and experimental design. Not intended for pre-health professional students. Lec/lab. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
BI 221,*PRINCIPLES OF BIOLOGY: CELLS,"Introduction to fundamental biological concepts and theories about the chemical and molecular basis of life, structure and function, transformation of energy and matter and information flow at a cellular and molecular level. (Bacc Core Course)"
